firstnames,gender
Jan,m
Stanisław,m
Andrzej,m
Józef,m
Tadeusz,m
Jerzy,m
Zbigniew,m
Krzysztof,m
Henryk,m
Ryszard,m
Kazimierz,m
Marek,m
Marian,m
Piotr,m
Janusz,m
Władysław,m
Adam,m
Wiesław,m
Zdzisław,m
Edward,m
Mieczysław,m
Roman,m
Mirosław,m
Grzegorz,m
Czesław,m
Dariusz,m
Wojciech,m
Jacek,m
Eugeniusz,m
Tomasz,m
Stefan,m
Zygmunt,m
Leszek,m
Bogdan,m
Antoni,m
Paweł,m
Franciszek,m
Sławomir,m
Waldemar,m
Jarosław,m
Robert,m
Mariusz,m
Włodzimierz,m
Michał,m
Zenon,m
Bogusław,m
Witold,m
Aleksander,m
Bronisław,m
Wacław,m
Bolesław,m
Ireneusz,m
Maciej,m
Artur,m
Edmund,m
Marcin,m
Lech,m
Karol,m
Rafał,m
Arkadiusz,m
Leon,m
Sylwester,m
Lucjan,m
Julian,m
Wiktor,m
Romuald,m
Bernard,m
Ludwik,m
Feliks,m
Alfred,m
Alojzy,m
Przemysław,m
Cezary,m
Daniel,m
Mikołaj,m
Ignacy,m
Lesław,m
Radosław,m
Konrad,m
Bogumił,m
Szczepan,m
Gerard,m
Hieronim,m
Krystian,m
Leonard,m
Wincenty,m
Benedykt,m
Hubert,m
Sebastian,m
Norbert,m
Adolf,m
Łukasz,m
Emil,m
Teodor,m
Rudolf,m
Joachim,m
Jakub,m
Walenty,m
Alfons,m
Damian,m
Rajmund,m
Szymon,m
Zygfryd,m
Leopold,m
Remigiusz,m
Florian,m
Konstanty,m
Augustyn,m
Albin,m
Bohdan,m
Dominik,m
Gabriel,m
Teofil,m
Brunon,m
Juliusz,m
Walerian,m
Bartłomiej,m
Fryderyk,m
Eryk,m
Anatol,m
Maksymilian,m
Gustaw,m
Aleksy,m
Longin,m
Bartosz,m
Wilhelm,m
Ferdynand,m
Erwin,m
Klemens,m
Lechosław,m
Ernest,m
Seweryn,m
Herbert,m
Albert,m
Błażej,m
Izydor,m
Dionizy,m
Edwin,m
Ginter,m
Adrian,m
Mateusz,m
Walter,m
Helmut,m
Bazyli,m
Marceli,m
Sergiusz,m
Bonifacy,m
Werner,m
Eligiusz,m
Wawrzyniec,m
Kamil,m
Łucjan,m
Olgierd,m
Arnold,m
Jacenty,m
Dawid,m
Ewald,m
Manfred,m
Emilian,m
Klaudiusz,m
Zbysław,m
Igor,m
Benon,m
Jędrzej,m
Wit,m
Hilary,m
Apolinary,m
Fabian,m
Zenobiusz,m
Horst,m
Gerhard,m
Roland,m
Euzebiusz,m
Hipolit,m
Filip,m
Nikodem,m
Miron,m
January,m
Kajetan,m
Bazyl,m
Emanuel,m
Idzi,m
Donat,m
August,m
Dymitr,m
Ksawery,m
Ludomir,m
Narcyz,m
Lubomir,m
Witalis,m
Roch,m
Miłosz,m
Telesfor,m
Heronim,m
Ziemowit,m
Borys,m
Oskar,m
Zbyszko,m
Krystyn,m
Zbyszek,m
Cyryl,m
Gracjan,m
Patryk,m
Reinhold,m
Eliasz,m
Ewaryst,m
Felicjan,m
Rufin,m
Bruno,m
Herman,m
Beniamin,m
Kryspin,m
Rajnold,m
Apoloniusz,m
Engelbert,m
Cyprian,m
Walery,m
Medard,m
Gwidon,m
Celestyn,m
Jaromir,m
Tytus,m
Wiaczesław,m
Kornel,m
