middleNames,gender
Jan,u
Stanisław,u
Andrzej,u
Józef,u
Tadeusz,u
Jerzy,u
Zbigniew,u
Krzysztof,u
Henryk,u
Ryszard,u
Kazimierz,u
Marek,u
Marian,u
Piotr,u
Janusz,u
Władysław,u
Adam,u
Wiesław,u
Zdzisław,u
Edward,u
Mieczysław,u
Roman,u
Mirosław,u
Grzegorz,u
Czesław,u
Dariusz,u
Wojciech,u
Jacek,u
Eugeniusz,u
Tomasz,u
Stefan,u
Zygmunt,u
Leszek,u
Bogdan,u
Antoni,u
Paweł,u
Franciszek,u
Sławomir,u
Waldemar,u
Jarosław,u
Robert,u
Mariusz,u
Włodzimierz,u
Michał,u
Zenon,u
Bogusław,u
Witold,u
Aleksander,u
Bronisław,u
Wacław,u
Bolesław,u
Ireneusz,u
Maciej,u
Artur,u
Edmund,u
Marcin,u
Lech,u
Karol,u
Rafał,u
Arkadiusz,u
Leon,u
Sylwester,u
Lucjan,u
Julian,u
Wiktor,u
Romuald,u
Bernard,u
Ludwik,u
Feliks,u
Alfred,u
Alojzy,u
Przemysław,u
Cezary,u
Daniel,u
Mikołaj,u
Ignacy,u
Lesław,u
Radosław,u
Konrad,u
Bogumił,u
Szczepan,u
Gerard,u
Hieronim,u
Krystian,u
Leonard,u
Wincenty,u
Benedykt,u
Hubert,u
Sebastian,u
Norbert,u
Adolf,u
Łukasz,u
Emil,u
Teodor,u
Rudolf,u
Joachim,u
Jakub,u
Walenty,u
Alfons,u
Damian,u
Rajmund,u
Szymon,u
Zygfryd,u
Leopold,u
Remigiusz,u
Florian,u
Konstanty,u
Augustyn,u
Albin,u
Bohdan,u
Dominik,u
Gabriel,u
Teofil,u
Brunon,u
Juliusz,u
Walerian,u
Bartłomiej,u
Fryderyk,u
Eryk,u
Anatol,u
Maksymilian,u
Gustaw,u
Aleksy,u
Longin,u
Bartosz,u
Wilhelm,u
Ferdynand,u
Erwin,u
Klemens,u
Lechosław,u
Ernest,u
Seweryn,u
Herbert,u
Albert,u
Błażej,u
Izydor,u
Dionizy,u
Edwin,u
Ginter,u
Adrian,u
Mateusz,u
Walter,u
Helmut,u
Bazyli,u
Marceli,u
Sergiusz,u
Bonifacy,u
Werner,u
Eligiusz,u
Wawrzyniec,u
Kamil,u
Łucjan,u
Olgierd,u
Arnold,u
Jacenty,u
Dawid,u
Ewald,u
Manfred,u
Emilian,u
Klaudiusz,u
Zbysław,u
Igor,u
Benon,u
Jędrzej,u
Wit,u
Hilary,u
Apolinary,u
Fabian,u
Zenobiusz,u
Horst,u
Gerhard,u
Roland,u
Euzebiusz,u
Hipolit,u
Filip,u
Nikodem,u
Miron,u
January,u
Kajetan,u
Bazyl,u
Emanuel,u
Idzi,u
Donat,u
August,u
Dymitr,u
Ksawery,u
Ludomir,u
Narcyz,u
Lubomir,u
Witalis,u
Roch,u
Miłosz,u
Telesfor,u
Heronim,u
Ziemowit,u
Borys,u
Oskar,u
Zbyszko,u
Krystyn,u
Zbyszek,u
Cyryl,u
Gracjan,u
Patryk,u
Reinhold,u
Eliasz,u
Ewaryst,u
Felicjan,u
Rufin,u
Bruno,u
Herman,u
Beniamin,u
Kryspin,u
Rajnold,u
Apoloniusz,u
Engelbert,u
Cyprian,u
Walery,u
Medard,u
Gwidon,u
Celestyn,u
Jaromir,u
Tytus,u
Wiaczesław,u
Kornel,u
Wieńczysław,u
Maurycy,u
Oswald,u
Jeremi,u
Kurt,u
Ingrid,u
Klaus,u
Damazy,u
Eustachy,u
Otton,u
Korneliusz,u
Cezariusz,u
Tymoteusz,u
Justyn,u
Otto,u
Janisław,u
Anastazy,u
Ambroży,u
Polikarp,u
Heliodor,u
Jurek,u
Saturnin,u
Dieter,u
Winicjusz,u
Wolfgang,u
Gotfryd,u
Modest,u
Margot,u
Sylweriusz,u
Marcel,u
Radzisław,u
Bogusz,u
Witosław,u
Leonid,u
Serafin,u
Reinhard,u
Diter,u
Dyonizy,u
Wenancjusz,u
Olaf,u
Wasyl,u
Anatoliusz,u
Januariusz,u
Kacper,u
Oleg,u
Rościsław,u
Sławoj,u
Erazm,u
Dobiesław,u
Jurand,u
Karin,u
Aureliusz,u
Wilibald,u
Heinz,u
Rajnard,u
Dobrosław,u
Erhard,u
Radomir,u
Egon,u
Harald,u
Eustachiusz,u
Kordian,u
Napoleon,u
Roger,u
Onufry,u
Wendelin,u
Włodzisław,u
Eugieniusz,u
Wirgiliusz,u
Jeremiasz,u
Anzelm,u
Ruth,u
Lucjusz,u
Anatoli,u
Inez,u
Iwo,u
Maria,u
Krystyna,u
Anna,u
Barbara,u
Teresa,u
Elżbieta,u
Janina,u
Zofia,u
Jadwiga,u
Danuta,u
Halina,u
Irena,u
Ewa,u
Małgorzata,u
Helena,u
Grażyna,u
Bożena,u
Stanisława,u
Jolanta,u
Marianna,u
Urszula,u
Wanda,u
Alicja,u
Dorota,u
Agnieszka,u
Beata,u
Katarzyna,u
Joanna,u
Wiesława,u
Renata,u
Iwona,u
Genowefa,u
Kazimiera,u
Stefania,u
Hanna,u
Lucyna,u
Józefa,u
Alina,u
Mirosława,u
Aleksandra,u
Władysława,u
Henryka,u
Czesława,u
