city,region_name
Алейск,Алтайский край
Барнаул,Алтайский край
Белокуриха,Алтайский край
Бийск,Алтайский край
Горняк,Алтайский край
Заринск,Алтайский край
Змеиногорск,Алтайский край
Камень-на-Оби,Алтайский край
Новоалтайск,Алтайский край
Рубцовск,Алтайский край
Славгород,Алтайский край
Яровое,Алтайский край
Белогорск,Амурская область
Благовещенск,Амурская область
Завитинск,Амурская область
Зея,Амурская область
Райчихинск,Амурская область
Свободный,Амурская область
Сковородино,Амурская область
Тында,Амурская область
Циолковский,Амурская область
Шимановск,Амурская область
Архангельск,Архангельская область
Вельск,Архангельская область
Каргополь,Архангельская область
Коряжма,Архангельская область
Котлас,Архангельская область
Мезень,Архангельская область
Мирный,Архангельская область
Нарьян-Мар,Архангельская область
Новодвинск,Архангельская область
Няндома,Архангельская область
Онега,Архангельская область
Северодвинск,Архангельская область
Сольвычегодск,Архангельская область
Шенкурск,Архангельская область
Астрахань,Астраханская область
Ахтубинск,Астраханская область
Знаменск,Астраханская область
Камызяк,Астраханская область
Нариманов,Астраханская область
Харабали,Астраханская область
Алексеевка,Белгородская область
Белгород,Белгородская область
Бирюч,Белгородская область
Валуйки,Белгородская область
Грайворон,Белгородская область
Губкин,Белгородская область
Короча,Белгородская область
Новый Оскол,Белгородская область
Старый Оскол,Белгородская область
Строитель,Белгородская область
Шебекино,Белгородская область
Брянск,Брянская область
Дятьково,Брянская область
Жуковка,Брянская область
Злынка,Брянская область
Карачев,Брянская область
Клинцы,Брянская область
Мглин,Брянская область
Новозыбков,Брянская область
Почеп,Брянская область
Севск,Брянская область
Сельцо,Брянская область
Стародуб,Брянская область
Сураж,Брянская область
Трубчевск,Брянская область
Унеча,Брянская область
Фокино,Брянская область
Александров,Владимирская область
Владимир,Владимирская область
Вязники,Владимирская область
Гороховец,Владимирская область
Гусь-Хрустальный,Владимирская область
Камешково,Владимирская область
Карабаново,Владимирская область
Киржач,Владимирская область
Ковров,Владимирская область
Кольчугино,Владимирская область
Костерево,Владимирская область
Курлово,Владимирская область
